2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"0]       CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"15]      CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/08 12:38:51	T	xlive 	732:736 	[OUT 0'0"15]      CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/08 12:38:51	T	xlive 	732:736 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
