2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"562]     CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CLibXLiveImpl::getIdByPath 	FL:LibXLiveImpl.cpp(438)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CSyncManager::getIdByPath 	FL:SyncManager.cpp(105)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CDBFS::queryIdByPath 	FL:DBFS.cpp(171)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CDBFS::_queryIdByPath 	FL:DBFS.cpp(981)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CDBFS::queryItemByPath 	FL:DBFS.cpp(97)
2016/03/17 19:24:31	T	xlive 	896:1300 	[IN]              CDBFS::_deleteDuplicateIdInfos 	FL:DBFS.cpp(1004)
2016/03/17 19:24:31	E	xlive 	896:1300 	!"ERROR_CHECK_BOOL:" "SQLITE_OK == ret" 	FL:DBFS.cpp(1009)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"0]       CDBFS::_deleteDuplicateIdInfos 	FL:DBFS.cpp(1004)
2016/03/17 19:24:31	E	xlive 	896:1300 	(sqlite3_stmt*)st 	FL:DBFS.cpp(134)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"0]       CDBFS::queryItemByPath 	FL:DBFS.cpp(97)
2016/03/17 19:24:31	E	xlive 	896:1300 	!"ERROR_CHECK_BOOL:" "XLIVE_OK == ret" 	FL:DBFS.cpp(991)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"0]       CDBFS::_queryIdByPath 	FL:DBFS.cpp(981)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"0]       CDBFS::queryIdByPath 	FL:DBFS.cpp(171)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"0]       CSyncManager::getIdByPath 	FL:SyncManager.cpp(105)
2016/03/17 19:24:31	T	xlive 	896:1300 	[OUT 0'0"531]     CLibXLiveImpl::getIdByPath 	FL:LibXLiveImpl.cpp(438)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(669)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(201)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:31	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"171]     CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"234]     CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"234]     CDBFS::init 	FL:DBFS.cpp(21)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(951)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"62]      CDBFS::_createTables 	FL:DBFS.cpp(829)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"62]      CDBFSShare::_createTables 	FL:DBFSShare.cpp(54)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(923)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(506)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"0]       CDBFSShare::_fixIncorrectData 	FL:DBFSShare.cpp(100)
2016/03/17 19:24:32	T	xlive 	896:260 	[IN]              CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CLibXLiveImpl::getIdByPath 	FL:LibXLiveImpl.cpp(438)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CSyncManager::getIdByPath 	FL:SyncManager.cpp(105)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CDBFS::queryIdByPath 	FL:DBFS.cpp(171)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CDBFS::_queryIdByPath 	FL:DBFS.cpp(981)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CDBFS::queryItemByPath 	FL:DBFS.cpp(97)
2016/03/17 19:24:32	T	xlive 	896:1300 	[IN]              CDBFS::_deleteDuplicateIdInfos 	FL:DBFS.cpp(1004)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"406]     CDBFS::setBindPath 	FL:DBFS.cpp(531)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"609]     CDBFS::_initDBEnv 	FL:DBFS.cpp(737)
2016/03/17 19:24:32	T	xlive 	896:260 	[OUT 0'0"609]     CDBFSShare::_initDBEnv 	FL:DBFSShare.cpp(19)
